start_date,end_date,open_price,high_price,low_price,close_price,volume,market_cap,daily_return,volatility,market_trend,moving_avg_7,crash_flag,market_cap_growth
2024-05-26,2024-05-27,3747.1139,3834.8396,3739.1002,3802.9031,17103181755.10453,454784966401.0488,1.488857864715566,2.5550170759420987,Bullish,3790.6478428571427,Normal,-2.2105460459981408
2024-05-25,2024-05-26,3725.8296,3765.8658,3718.0679,3746.9927,21662918305.146343,449798743843.8536,0.5680104103526301,1.2828793887943784,Bullish,3785.193371428572,Normal,-1.096391245439321
2024-05-24,2024-05-25,3768.5169,3813.6985,3651.6707,3729.3849,50662180631.808365,448277908521.6063,-1.0383925835651702,4.299511035760509,Bearish,3781.5384428571424,Normal,-0.33811462194194286
2024-05-23,2024-05-24,3743.3851,3906.8369,3686.0141,3762.9906,38218067429.25087,454989857889.6829,0.5237371917732995,5.899013702864819,Bullish,3783.9232285714284,Normal,1.4972741775770793
2024-05-22,2024-05-23,3782.7658,3798.8464,3679.8664,3740.4041,40014294156.90244,450294175895.4808,-1.1198604999548194,3.145317640336074,Bearish,3781.0914857142857,Normal,-1.032041025261854
2024-05-21,2024-05-22,3668.3001,3809.484,3635.5832,3783.9725,51567094232.36585,447199485584.09753,3.153297081664609,4.740637223219548,Bullish,3775.713457142857,Normal,-0.6872596797924291
2024-05-20,2024-05-21,3073.1032,3678.9175,3058.8148,3655.0761,16711641275.91986,383216106689.8188,18.93762955959306,20.178388412078053,Bullish,3745.9605714285717,Normal,-14.307569878062044
2024-05-19,2024-05-20,3124.5805,3138.3659,3064.9943,3077.2446,10498406217.54704,372228665170.92334,-1.5149521671789232,2.3482064232302524,Bearish,3642.2950714285716,Normal,-2.8671658959754653
2024-05-18,2024-05-19,3094.1352,3148.4639,3091.3772,3124.6459,15607196432.749128,374230786925.331,0.9860816683123547,1.8449969477739785,Bullish,3553.3883857142855,Normal,0.5378741461215197
2024-05-17,2024-05-18,2944.6721,3114.4688,2939.1483,3096.5567,17499374712.27526,364653625093.993,5.157946108838411,5.9538208006249755,Bullish,3462.9843571428573,Normal,-2.559159258388033
2024-05-16,2024-05-17,3037.0939,3040.4646,2930.0507,2946.525,18409130091.70732,358471069527.8467,-2.9820908731205105,3.6355115658425974,Bearish,3346.3464142857147,Normal,-1.695459784488007
2024-05-15,2024-05-16,2890.9995,3040.3976,2871.2261,3038.4018,15530322763.84669,353959643433.3275,5.098662244666601,5.851661337194971,Bullish,3246.0603714285717,Normal,-1.2585188814431492
2024-05-14,2024-05-15,2950.9286,2962.4673,2876.9228,2885.9471,15243697099.03136,350244429929.1707,-2.2020695451594565,2.898901044234007,Bearish,3117.7710285714284,Normal,-1.0496149979472458
2024-05-13,2024-05-14,2939.8921,2991.1717,2879.5344,2951.8969,14451671027.114985,353931208475.7317,0.4083415170237084,3.797326439293465,Bullish,3017.3168571428573,Normal,1.0526301723931875
2024-05-12,2024-05-13,2921.2714,2957.482,2913.4757,2940.0684,8710887809.041811,352364420037.8049,0.6434527103507064,1.5064091614356683,Bullish,2997.7202571428575,Normal,-0.4426816286346891
2024-05-11,2024-05-12,2917.1542,2942.2771,2899.6712,2917.5761,14615951567.163765,350918186700.95123,0.01446272535062692,1.4605295805069052,Bullish,2968.1388571428574,Normal,-0.41043682466535003
2024-05-10,2024-05-11,3036.2341,3055.5622,2893.4119,2914.7175,15348847522.299652,358912264073.77,-4.002214453753745,5.340507176307644,Bearish,2942.1618285714285,Normal,2.2780459023719057
2024-05-09,2024-05-10,2982.4435,3057.9938,2962.5723,3041.4941,15431620439.303137,360740331162.1742,1.979940273805691,3.199440324686801,Bullish,2955.7288428571433,Normal,0.5093353644857412
2024-05-08,2024-05-09,3016.9787,3039.6624,2950.6782,2980.2923,16305526586.721254,361327030605.0418,-1.2159979783748573,2.9494474057771876,Bearish,2947.4274857142855,Normal,0.16263760721666465
2024-05-07,2024-05-08,3073.4499,3129.9726,3017.5895,3018.8003,18009353668.947735,369251753660.5958,-1.7781191097339895,3.656578231517618,Bearish,2966.4065142857144,Normal,2.1932272939237496
2024-05-06,2024-05-07,3147.9043,3226.2427,3064.5102,3070.6776,14774931107.118467,376193524069.8014,-2.4532734365526983,5.137783254719643,Bearish,2983.3751857142856,Normal,1.8799559759399953
2024-05-05,2024-05-06,3123.1863,3171.0526,3083.8993,3145.7927,12769298228.240416,376368010916.2474,0.7238248963886695,2.790525176163841,Bullish,3012.764371428571,Normal,0.046382203648365206
2024-05-04,2024-05-05,3109.0019,3167.0271,3105.2793,3122.9548,16112788053.874563,375675206669.1812,0.4487903336437257,1.9860972101689498,Bullish,3042.1041857142854,Normal,-0.18407628357669514
2024-05-03,2024-05-04,2995.1504,3129.2215,2970.1135,3109.1052,17797249529.780487,364082517035.0488,3.8046436666419146,5.312187327888449,Bullish,3069.8738571428576,Normal,-3.0858277118992583
2024-05-02,2024-05-03,2982.6549,3016.1151,2905.9576,2996.1961,24512610743.36934,358685178592.1882,0.45399821481191527,3.6932700460921506,Bullish,3063.402714285715,Normal,-1.4824492224495
2024-05-01,2024-05-02,3020.1584,3025.2748,2842.6042,2978.4627,27698776252.498257,359085171300.11847,-1.380579906007571,6.048378124802988,Bearish,3063.141342857143,Normal,0.11151637474964282
2024-04-30,2024-05-01,3215.8261,3251.9596,2934.4719,3025.4554,22560950656.414635,375229420309.8989,-5.919807044292613,9.872663823457373,Bearish,3064.0920714285717,Normal,4.4959386519159095
2024-04-29,2024-04-30,3276.7759,3290.2292,3128.9746,3221.3244,20112239962.38676,390258332156.72125,-1.692257929509312,4.921136047173693,Bearish,3085.6130428571423,Normal,4.005259458176291
2024-04-28,2024-04-29,3262.7431,3349.1001,3259.9104,3267.5264,17495409070.247387,403962888143.5924,0.14660363545018465,2.733580219662403,Bullish,3103.003571428572,Normal,3.5116626238661963
2024-04-27,2024-04-28,3138.1956,3276.4548,3090.4257,3266.4045,16096897368.655052,385995129319.4982,4.0854336804245115,5.927900096475828,Bullish,3123.496385714286,Normal,-4.447873641726064
2024-04-26,2024-04-27,3159.7408,3164.0257,3109.0185,3136.485,17568442069.9338,383571092868.8153,-0.7360034088872071,1.7408769731998273,Bearish,3127.407785714286,Normal,-0.627996642070705
2024-04-25,2024-04-26,3144.7356,3191.1677,3086.2351,3160.3572,20916663780.80488,384275950203.8467,0.4967540037388181,3.3367701882473075,Bullish,3150.859371428571,Normal,0.18376184966379938
2024-04-24,2024-04-25,3226.5814,3292.5009,3119.827,3143.4108,16777945141.348433,392818371296.6411,-2.577669356179885,5.351605262461371,Bearish,3174.423385714286,Normal,2.222991339495217
2024-04-23,2024-04-24,3203.5081,3259.6654,3161.1935,3222.9544,15615157883.369335,390925135790.0557,0.6070313978603664,3.073877041234889,Bullish,3202.6375285714284,Normal,-0.48196205802087944
2024-04-22,2024-04-23,3154.885,3236.2895,3139.1486,3205.1638,15268999696.658537,384038270821.7282,1.5936809107146406,3.079063103726439,Bullish,3200.328871428571,Normal,-1.7616838462968687
2024-04-21,2024-04-22,3152.6366,3197.1134,3125.9824,3151.7936,13828359560.832752,379923371242.5958,-0.02673952335641372,2.25623847670868,Bearish,3183.7956142857142,Normal,-1.0714816443495923
2024-04-20,2024-04-21,3061.1119,3164.9343,3029.3462,3156.4933,18414450765.38676,370812382193.7317,3.1159070009822316,4.429374176095945,Bullish,3168.0940142857144,Normal,-2.3981122875029515
2024-04-19,2024-04-20,3064.6866,3119.2634,2883.5642,3066.9869,26626321057.444057,367780406783.8532,0.0750582457599377,7.690809233152911,Bullish,3158.1657142857143,Normal,-0.8176575420543619
2024-04-18,2024-04-19,2994.9314,3088.8207,2964.3582,3066.9058,24462589620.685516,364033049456.682,2.4032069649408347,4.155771314160988,Bullish,3144.815514285714,Normal,-1.0189116271692944
2024-04-17,2024-04-18,3086.2507,3123.377,2940.8497,2986.9312,23766865779.35192,365614112033.7108,-3.218128067172251,5.914208460122819,Bearish,3122.4612857142856,Normal,0.4343184167999503
2024-04-16,2024-04-17,3104.6052,3120.097,3011.6021,3085.2485,29508772950.404182,369044674825.86414,-0.6234834625671508,3.4946440210819767,Bearish,3102.789014285714,Normal,0.9383015259096572
2024-04-15,2024-04-16,3148.3086,3274.6408,3046.618,3104.8875,30679480180.114983,380234324207.1882,-1.3791881774232688,7.242708036944034,Bearish,3088.4638285714286,Normal,3.0320582153377407
2024-04-14,2024-04-15,3020.6766,3167.6846,2921.9017,3155.7818,45094615982.20557,366674727759.561,4.472680061149228,8.136683682059846,Bullish,3089.0335714285716,Normal,-3.5661158355179468
2024-04-13,2024-04-14,3231.1639,3297.6372,2874.401,3024.3586,32796794122.344948,384236672197.2335,-6.400334566748532,13.09856798041103,Bearish,3070.1571857142853,Normal,4.789515913730602
2024-04-12,2024-04-13,3515.9494,3559.298,3207.709,3245.0984,20597446897.686413,413222734268.3066,-7.703495391600349,9.999831055589139,Bearish,3095.6016857142854,Normal,7.543804162501733
2024-04-11,2024-04-12,3544.0727,3619.6398,3487.4192,3516.6996,23359330960.536587,425841437102.5226,-0.7723628242727709,3.7307530401393882,Bearish,3159.8579428571425,Normal,3.0537290879118606
2024-04-10,2024-04-11,3505.5251,3559.9659,3426.2983,3547.5273,25494309764.846157,421861208539.6189,1.1981714237333618,3.8130549970958763,Bullish,3239.9431,Normal,-0.9346738518415831
2024-04-09,2024-04-10,3702.1783,3719.8724,3480.2572,3510.2155,27414389831.860622,432872592945.6272,-5.185131142927402,6.472276065147921,Bearish,3300.6526714285715,Normal,2.610191262696815
